areaCode,lat,long,Country,Source
332,40.71427,-74.00597,US,Npas analysis - overlays of existing area codes in https://github.com/ravisorg/Area-Code-Geolocation-Database
334,32.187855,-85.86078875,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
336,35.986358,-79.858592,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
337,30.242168,-92.500372,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
339,42.38921565,-71.10036565,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
343,44.95518214,-76.08718,CA,https://github.com/ravisorg/Area-Code-Geolocation-Database
346,29.70917889,-95.30039889,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
347,40.691608,-73.959668,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
351,42.60368286,-71.22620857,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
352,28.372005,-81.7805925,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
360,47.41118222,-122.5702911,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
361,28.04057333,-97.41869667,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
364,37.44057,-87.00663143,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
365,43.575115,-79.3496,CA,https://github.com/ravisorg/Area-Code-Geolocation-Database
367,47.26140744,-71.35332372,CA,Npas analysis - overlays of existing area codes in https://github.com/ravisorg/Area-Code-Geolocation-Database
380,40.008745,-83.0058775,US,Npas analysis - overlays of existing area codes in https://github.com/ravisorg/Area-Code-Geolocation-Database
385,40.65385643,-111.8801921,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
386,29.16779857,-81.11085143,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
401,41.773583,-71.418123,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
402,41.23897143,-96.88106286,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
403,51.2093535,-113.591395,CA,https://github.com/ravisorg/Area-Code-Geolocation-Database
404,33.73466889,-84.37236667,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
405,35.504228,-97.413675,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
406,46.40531,-111.567485,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
407,28.39369067,-81.30824933,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
408,37.26716556,-121.8848322,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
409,29.66411,-94.436145,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
410,39.24997871,-76.58799065,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
412,40.39926667,-79.91952778,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
413,42.19644625,-72.713425,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
414,42.94616571,-87.95000714,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
415,37.927565,-122.517545,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
416,43.459085,-79.70173,CA,https://github.com/ravisorg/Area-Code-Geolocation-Database
417,37.14978,-93.90576,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
